area,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Amnat Charoen,2011,2,2,3,5,40,40,39,14,10,2,4,0
Amnat Charoen,2012,0,0,1,0,12,17,38,22,16,7,5,5
Amnat Charoen,2013,3,7,7,23,74,92,94,47,22,8,0,1
Amnat Charoen,2014,0,1,4,0,4,7,30,18,15,16,11,6
Amnat Charoen,2015,1,3,4,2,11,64,91,111,80,35,23,12
Amnat Charoen,2016,11,14,18,12,9,24,55,37,17,13,5,2
Amnat Charoen,2017,1,3,2,2,4,34,29,2,5,1,0,0
Amnat Charoen,2018,0,0,2,1,9,37,20,23,16,11,1,0
Amnat Charoen,2019,9,2,6,9,58,48,28,24,66,47,21,1
Amnat Charoen,2020,0,2,4,1,13,18,27,23,9,3,0,0
Ang Thong,2011,1,16,4,15,23,48,42,27,9,21,15,8
Ang Thong,2012,11,8,10,14,7,17,13,23,31,18,17,11
Ang Thong,2013,16,10,8,7,9,17,16,22,16,12,4,6
Ang Thong,2014,3,4,9,2,9,6,19,4,5,6,16,5
Ang Thong,2015,9,9,15,36,108,126,107,108,107,87,57,12
Ang Thong,2016,6,3,11,7,1,1,5,10,24,14,1,1
Ang Thong,2017,6,3,2,2,7,12,31,27,27,16,14,8
Ang Thong,2018,2,2,10,10,15,18,21,12,20,17,15,6
Ang Thong,2019,12,10,7,3,5,10,20,18,11,11,4,3
Ang Thong,2020,11,13,15,9,8,6,25,49,81,24,6,5
Bangkok,2011,202,145,128,129,302,416,483,414,279,221,304,177
Bangkok,2012,99,74,100,77,71,123,277,386,394,602,811,569
Bangkok,2013,575,282,292,210,271,346,740,949,713,708,660,328
Bangkok,2014,200,156,120,86,77,110,157,189,213,239,367,208
Bangkok,2015,286,209,178,192,441,471,705,1103,1270,1895,4273,1715
Bangkok,2016,998,440,310,124,78,63,193,314,309,333,364,283
Bangkok,2017,200,127,119,111,155,331,630,704,520,563,737,448
Bangkok,2018,252,222,307,240,209,412,660,691,538,434,419,297
Bangkok,2019,587,354,242,183,158,308,743,1224,1050,1479,1497,765
Bangkok,2020,402,207,150,70,81,159,399,594,519,453,536,335
Bungkan,2011,1,0,0,0,2,5,11,5,8,3,2,0
Bungkan,2012,1,16,4,7,14,15,19,14,7,9,8,8
Bungkan,2013,5,4,17,50,118,167,153,86,10,1,0,0
Bungkan,2014,1,1,2,6,25,49,10,12,10,6,4,0
Bungkan,2015,0,1,2,0,1,11,19,31,48,60,57,6
Bungkan,2016,15,22,21,18,45,86,73,59,22,12,7,0
Bungkan,2017,0,0,0,0,0,0,1,0,1,0,0,0
Bungkan,2018,2,1,2,2,25,19,18,2,5,4,7,11
Bungkan,2019,6,14,28,7,99,394,109,20,5,0,0,0
Bungkan,2020,12,4,10,39,119,133,134,56,33,6,1,0
Buri Ram,2011,11,5,7,9,35,116,96,123,68,12,15,9
Buri Ram,2012,7,2,10,20,48,162,168,127,180,132,86,59
Buri Ram,2013,56,56,80,64,71,171,155,147,94,26,13,3
Buri Ram,2014,4,16,10,11,12,31,26,42,38,14,15,1
Buri Ram,2015,5,7,13,22,49,75,78,223,166,68,96,74
Buri Ram,2016,60,65,61,13,9,23,49,72,61,24,14,4
Buri Ram,2017,6,7,3,14,21,47,36,39,28,21,8,2
Buri Ram,2018,3,1,4,12,65,129,160,155,135,100,73,63
Buri Ram,2019,46,79,116,69,136,330,663,343,308,187,107,37
Buri Ram,2020,29,42,33,52,98,119,288,168,82,20,5,2
Chachoengsao,2011,12,12,4,16,53,105,99,69,70,40,37,16
Chachoengsao,2012,14,12,11,19,28,61,105,110,100,95,53,17
Chachoengsao,2013,15,16,8,11,20,43,66,47,32,21,13,3
Chachoengsao,2014,7,3,5,2,7,11,12,21,21,23,23,8
Chachoengsao,2015,6,8,13,16,37,80,169,202,342,279,388,172
Chachoengsao,2016,41,22,32,7,5,9,24,46,51,32,25,11
Chachoengsao,2017,13,6,5,11,13,35,48,53,68,29,24,27
Chachoengsao,2018,15,12,18,19,84,237,227,228,113,48,80,62
Chachoengsao,2019,43,46,53,52,64,72,118,90,67,55,37,13
Chachoengsao,2020,10,8,2,7,11,24,31,20,11,11,1,1
Chai Nat,2011,9,6,5,4,31,30,36,18,21,20,14,8
Chai Nat,2012,5,17,17,16,11,11,21,9,19,17,41,33
Chai Nat,2013,18,28,21,9,14,34,53,11,4,8,3,2
Chai Nat,2014,1,1,0,0,3,3,11,3,1,1,6,4
Chai Nat,2015,7,4,5,7,18,74,47,56,46,49,53,29
Chai Nat,2016,18,5,10,4,4,3,5,13,23,5,3,1
Chai Nat,2017,2,0,1,8,3,19,24,22,18,4,11,4
Chai Nat,2018,2,2,0,0,4,9,16,11,7,12,29,14
Chai Nat,2019,17,15,16,10,4,15,39,24,44,25,20,12
Chai Nat,2020,19,13,17,17,14,42,103,125,114,29,12,0
Chaiyaphum,2011,3,1,5,23,38,62,70,62,40,33,13,9
Chaiyaphum,2012,6,12,12,27,55,105,109,68,50,16,28,21
Chaiyaphum,2013,13,21,44,56,75,154,127,95,52,22,15,4
Chaiyaphum,2014,3,3,5,10,30,74,79,58,34,46,28,16
Chaiyaphum,2015,12,15,24,43,142,193,245,407,333,182,134,43
Chaiyaphum,2016,33,29,28,15,11,33,60,84,62,34,11,0
Chaiyaphum,2017,13,3,7,5,13,80,53,44,24,11,10,0
Chaiyaphum,2018,6,1,10,16,67,150,140,96,72,68,45,35
Chaiyaphum,2019,61,42,90,137,159,389,416,265,179,186,147,54
Chaiyaphum,2020,51,63,59,185,345,509,514,135,49,6,4,0
Chanthaburi,2011,9,9,9,22,75,92,84,67,37,29,27,20
Chanthaburi,2012,16,16,19,48,97,169,152,100,46,27,44,20
Chanthaburi,2013,44,21,31,60,93,148,140,110,78,54,39,13
Chanthaburi,2014,6,6,22,23,49,82,123,128,91,84,49,53
Chanthaburi,2015,26,28,43,48,122,178,283,271,207,165,182,57
Chanthaburi,2016,43,31,37,16,38,62,108,72,41,45,40,9
Chanthaburi,2017,5,13,8,18,28,41,48,47,29,17,8,4
Chanthaburi,2018,5,5,6,15,16,49,50,37,27,22,39,28
Chanthaburi,2019,24,32,35,82,160,336,330,241,113,78,47,30
Chanthaburi,2020,24,16,27,50,93,173,83,62,26,20,8,6
Chiang Mai,2011,13,2,2,9,40,65,52,51,29,11,19,9
Chiang Mai,2012,10,15,4,14,48,105,169,225,230,270,155,101
Chiang Mai,2013,106,67,142,455,978,2592,2466,1155,505,147,73,27
Chiang Mai,2014,8,6,2,5,14,62,121,153,125,64,32,22
Chiang Mai,2015,15,11,7,20,140,340,530,715,925,806,797,316
Chiang Mai,2016,73,24,41,57,96,260,903,1339,700,216,182,61
Chiang Mai,2017,33,23,27,37,114,232,413,256,131,117,74,53
Chiang Mai,2018,18,13,11,17,33,103,235,251,174,115,72,55
Chiang Mai,2019,25,21,34,32,77,209,520,528,530,492,365,129
Chiang Mai,2020,59,14,13,15,80,180,718,838,441,214,118,50
Chiang Rai,2011,9,5,2,3,25,63,61,66,44,11,14,10
Chiang Rai,2012,2,5,1,6,29,99,115,135,91,112,103,89
Chiang Rai,2013,98,26,49,136,722,1970,3272,2738,1197,385,124,37
Chiang Rai,2014,15,4,4,3,23,41,50,28,43,21,42,20
Chiang Rai,2015,5,1,1,6,111,241,215,290,232,104,183,72
Chiang Rai,2016,31,19,17,26,42,108,292,292,154,61,38,19
Chiang Rai,2017,14,13,5,17,50,271,328,316,238,158,137,57
Chiang Rai,2018,30,10,16,26,141,414,619,559,336,248,129,74
Chiang Rai,2019,30,19,43,67,113,358,1173,1106,909,453,341,50
Chiang Rai,2020,36,22,23,24,168,297,436,258,117,63,25,9
Chon Buri,2011,36,26,58,65,119,93,71,56,51,33,28,19
Chon Buri,2012,18,15,16,27,24,30,55,86,94,71,95,59
Chon Buri,2013,39,43,40,46,49,90,51,76,90,44,26,20
Chon Buri,2014,16,12,24,14,11,22,24,24,18,22,37,25
Chon Buri,2015,64,38,44,45,143,191,279,286,176,237,316,186
Chon Buri,2016,137,70,58,31,20,8,14,36,47,34,19,10
Chon Buri,2017,27,20,22,26,39,76,96,36,33,44,48,42
Chon Buri,2018,43,43,58,96,188,287,311,210,157,78,191,152
Chon Buri,2019,155,139,116,151,151,234,420,304,207,237,254,155
Chon Buri,2020,79,64,44,48,87,147,287,334,255,152,143,54
Chumphon,2011,21,16,16,11,20,31,33,10,5,10,8,3
Chumphon,2012,6,15,18,19,52,58,119,111,65,56,43,69
Chumphon,2013,45,60,61,61,98,122,161,84,68,33,36,23
Chumphon,2014,16,24,25,17,20,56,69,44,38,40,41,29
Chumphon,2015,26,27,22,27,43,66,61,64,53,45,44,18
Chumphon,2016,25,19,5,6,7,18,28,42,34,30,14,5
Chumphon,2017,11,13,19,19,43,29,29,25,28,30,40,13
Chumphon,2018,15,19,9,11,21,17,57,29,19,13,24,11
Chumphon,2019,30,36,33,47,64,66,76,53,44,33,8,12
Chumphon,2020,5,9,13,13,16,25,36,21,31,43,32,13
Kalasin,2011,0,0,0,0,0,0,0,0,0,0,0,0
Kalasin,2012,0,0,0,0,0,0,0,0,0,0,0,0
Kalasin,2013,0,0,0,0,0,1,355,207,88,38,16,1
Kalasin,2014,4,9,16,10,24,26,38,55,43,37,7,2
Kalasin,2015,3,0,9,19,44,109,126,207,196,105,158,84
Kalasin,2016,42,25,39,22,18,55,95,129,77,49,6,8
Kalasin,2017,15,5,6,5,25,125,112,87,31,27,5,1
Kalasin,2018,1,1,3,3,36,100,132,89,52,33,14,21
Kalasin,2019,13,17,32,43,50,172,203,183,98,69,56,21
Kalasin,2020,25,17,29,80,64,81,155,85,46,20,9,3
Kamphaeng Phet,2011,8,9,5,24,58,143,85,76,35,20,14,10
Kamphaeng Phet,2012,11,14,20,20,33,55,112,77,80,71,49,19
Kamphaeng Phet,2013,21,28,32,31,51,148,181,81,39,27,23,8
Kamphaeng Phet,2014,5,4,13,12,22,136,176,91,36,17,17,10
Kamphaeng Phet,2015,5,13,16,12,31,48,78,62,76,91,47,48
Kamphaeng Phet,2016,24,4,9,15,6,6,6,15,18,14,5,1
Kamphaeng Phet,2017,1,3,9,17,13,66,116,52,63,25,12,6
Kamphaeng Phet,2018,9,8,12,27,56,135,153,117,68,38,41,36
Kamphaeng Phet,2019,17,14,25,26,18,54,87,66,20,19,19,1
Kamphaeng Phet,2020,11,7,22,9,10,17,46,51,29,15,5,3
Kanchanaburi,2011,6,5,18,30,63,62,25,19,20,16,40,10
Kanchanaburi,2012,20,22,30,22,35,65,64,65,108,73,50,27
Kanchanaburi,2013,32,19,24,17,9,18,29,40,10,6,2,2
Kanchanaburi,2014,2,10,7,15,6,7,7,4,12,12,17,5
Kanchanaburi,2015,15,11,26,21,38,51,134,149,105,85,101,50
Kanchanaburi,2016,31,14,25,7,7,7,18,16,12,10,2,1
Kanchanaburi,2017,4,1,1,1,4,12,18,15,4,4,10,3
Kanchanaburi,2018,8,9,10,26,41,84,59,88,19,23,27,26
Kanchanaburi,2019,26,28,35,7,24,78,162,136,75,15,17,16
Kanchanaburi,2020,12,25,9,11,17,17,22,10,20,42,17,7
Khon Kaen,2011,5,4,2,12,57,113,125,92,60,29,32,22
Khon Kaen,2012,25,19,32,30,67,127,136,97,125,100,103,99
Khon Kaen,2013,80,35,64,60,118,222,352,465,208,57,16,0
Khon Kaen,2014,4,12,15,3,11,27,47,50,49,33,17,9
Khon Kaen,2015,1,3,10,22,47,100,162,186,209,152,161,62
Khon Kaen,2016,42,35,27,13,20,52,79,94,66,28,12,7
Khon Kaen,2017,6,2,3,4,16,38,45,43,25,10,7,3
Khon Kaen,2018,5,5,6,9,64,132,138,143,120,67,83,80
Khon Kaen,2019,98,87,122,65,128,407,307,322,315,242,192,48
Khon Kaen,2020,76,79,128,226,457,339,539,268,95,22,12,10
Krabi,2011,18,32,20,14,29,32,33,27,23,21,23,17
Krabi,2012,18,40,64,83,83,78,69,56,47,50,59,51
Krabi,2013,88,70,75,60,99,128,94,39,0,0,0,1
Krabi,2014,14,10,16,15,50,79,67,37,28,20,30,20
Krabi,2015,21,11,15,14,24,73,135,94,64,56,38,7
Krabi,2016,9,10,11,10,3,13,34,38,28,14,19,17
Krabi,2017,3,8,9,9,12,21,28,28,17,10,21,14
Krabi,2018,10,9,18,16,51,88,68,47,51,27,23,20
Krabi,2019,28,23,11,18,32,42,56,23,14,19,16,7
Krabi,2020,6,3,5,6,14,23,20,21,4,8,5,5
Lampang,2011,9,3,1,4,21,36,35,20,10,7,4,6
Lampang,2012,1,5,3,2,5,36,41,38,11,9,20,17
Lampang,2013,21,19,20,53,225,726,738,439,210,67,26,3
Lampang,2014,2,1,1,2,16,25,22,10,11,10,9,4
Lampang,2015,4,3,0,3,41,151,174,209,233,118,113,74
Lampang,2016,19,20,22,14,10,24,121,195,82,53,13,6
Lampang,2017,4,8,8,12,34,40,66,36,24,14,10,8
Lampang,2018,2,0,0,11,33,64,60,45,22,11,3,6
Lampang,2019,6,18,13,21,39,88,244,142,75,37,12,4
Lampang,2020,3,1,0,2,58,110,260,201,121,41,14,10
Lamphun,2011,1,1,1,2,6,15,10,7,5,5,3,0
Lamphun,2012,1,1,0,0,2,6,9,7,25,15,90,38
Lamphun,2013,29,16,31,78,86,148,273,147,72,32,4,1
Lamphun,2014,0,1,0,2,0,3,6,3,2,0,3,1
Lamphun,2015,0,0,1,2,8,29,29,82,146,147,118,53
Lamphun,2016,29,8,17,16,16,32,72,102,47,16,7,5
Lamphun,2017,3,2,6,7,17,16,50,56,12,12,11,4
Lamphun,2018,0,3,10,20,36,35,33,21,20,4,16,7
Lamphun,2019,2,4,6,3,3,19,31,53,97,36,14,2
Lamphun,2020,6,5,2,5,8,16,25,36,14,13,10,3
Loei,2011,0,5,3,8,25,43,56,15,25,10,6,3
Loei,2012,0,9,2,8,82,137,101,42,43,42,32,46
Loei,2013,47,63,127,180,336,469,424,171,55,34,15,6
Loei,2014,2,4,3,5,7,9,9,22,5,4,8,2
Loei,2015,0,1,7,7,57,115,117,150,101,94,82,20
Loei,2016,14,21,30,20,43,118,101,64,49,29,9,6
Loei,2017,5,4,5,12,40,42,50,39,27,17,6,4
Loei,2018,1,3,7,7,26,72,85,55,21,19,10,8
Loei,2019,6,2,9,49,103,287,303,141,119,100,56,13
Loei,2020,21,10,26,41,111,198,174,77,34,4,4,2
Lop Buri,2011,21,20,7,0,4,73,114,94,65,42,49,18
Lop Buri,2012,24,33,31,30,29,44,108,181,182,111,39,0
Lop Buri,2013,6,29,35,10,25,46,89,83,66,47,51,11
Lop Buri,2014,9,18,21,23,41,52,33,66,30,44,65,26
Lop Buri,2015,27,58,57,46,169,135,99,138,282,277,231,61
Lop Buri,2016,61,55,52,11,4,2,13,39,52,33,8,9
Lop Buri,2017,8,12,7,1,4,7,16,46,32,21,10,5
Lop Buri,2018,11,11,9,5,42,120,151,145,165,113,71,61
Lop Buri,2019,94,106,145,56,36,61,71,64,95,85,48,12
Lop Buri,2020,23,16,9,21,17,41,116,175,180,44,40,1
Mae Hong Son,2011,0,0,3,5,44,25,27,6,0,0,0,0
Mae Hong Son,2012,0,0,1,0,1,16,19,11,8,14,10,3
Mae Hong Son,2013,2,10,11,32,152,333,398,275,112,63,60,25
Mae Hong Son,2014,2,2,3,13,40,65,124,98,31,23,22,3
Mae Hong Son,2015,9,9,1,1,13,54,133,146,73,46,40,16
Mae Hong Son,2016,12,12,19,29,64,83,199,207,147,99,52,13
Mae Hong Son,2017,2,6,6,10,33,61,66,80,47,31,26,16
Mae Hong Son,2018,6,3,2,10,30,147,113,61,26,24,26,18
Mae Hong Son,2019,6,1,6,2,5,30,44,85,77,54,38,2
Mae Hong Son,2020,4,3,6,33,71,152,466,331,130,134,56,13
Maha Sarakham,2011,5,3,7,4,14,21,76,61,57,18,7,1
Maha Sarakham,2012,4,6,10,15,30,72,114,109,148,141,111,69
Maha Sarakham,2013,58,46,72,45,98,275,388,402,198,81,33,10
Maha Sarakham,2014,9,27,17,3,14,26,35,38,35,24,15,9
Maha Sarakham,2015,2,3,14,25,50,72,74,108,114,79,121,35
Maha Sarakham,2016,26,34,50,28,12,14,40,67,63,49,23,10
Maha Sarakham,2017,9,18,8,9,14,45,48,39,30,13,13,7
Maha Sarakham,2018,6,3,5,5,46,111,90,45,25,18,15,17
Maha Sarakham,2019,20,25,32,17,14,89,145,146,152,93,35,13
Maha Sarakham,2020,27,20,21,49,116,142,230,170,101,12,4,3
Mukdahan,2011,0,0,2,2,4,19,15,7,3,2,0,0
Mukdahan,2012,1,1,1,0,12,35,27,17,11,14,10,14
Mukdahan,2013,10,12,29,72,127,168,120,78,20,12,4,0
Mukdahan,2014,1,1,2,5,12,8,7,12,4,4,1,0
Mukdahan,2015,0,2,6,2,7,45,34,47,49,23,30,15
Mukdahan,2016,10,7,11,8,7,68,70,81,48,31,19,3
Mukdahan,2017,3,9,12,13,19,64,42,21,11,6,4,0
Mukdahan,2018,0,0,3,3,35,53,44,38,13,7,2,5
Mukdahan,2019,8,12,33,50,140,156,99,86,34,12,3,1
Mukdahan,2020,4,8,3,24,33,70,140,47,28,5,1,1
Nakhon Nayok,2011,0,1,1,6,24,36,36,37,12,11,7,2
Nakhon Nayok,2012,1,6,9,2,12,22,6,3,10,8,2,5
Nakhon Nayok,2013,8,19,19,27,53,34,37,41,18,7,1,1
Nakhon Nayok,2014,1,0,4,4,5,3,4,11,8,4,8,3
Nakhon Nayok,2015,3,2,3,3,13,29,68,72,121,24,18,3
